Id,gender,cluster_0,cluster_1,cluster_2,age
315,0,1,0,0,0.285714286
316,0,0,1,0,0.285714286
317,0,0,0,1,0.357142857
318,0,1,0,0,0.357142857
319,0,0,1,0,0.357142857
320,0,0,0,1,0.357142857
321,0,1,0,0,0.357142857
322,0,0,1,0,0.357142857
323,0,0,0,1,0.428571429
324,0,1,0,0,0.428571429
325,0,0,1,0,0.428571429
326,0,0,0,1,0.428571429
327,0,1,0,0,0.428571429
328,0,0,1,0,0.5
329,0,0,0,1,0.5
330,0,1,0,0,0.5
331,0,0,1,0,0.5
332,0,0,0,1,0.5
333,0,1,0,0,0.571428571
334,0,0,1,0,0.571428571
335,0,0,0,1,0.571428571
336,0,1,0,0,0.571428571
337,0,0,1,0,0.642857143
338,0,0,0,1,0.642857143
339,0,1,0,0,0.642857143
340,0,0,1,0,0.642857143
341,0,0,0,1,0.714285714
342,0,1,0,0,0.714285714
343,0,0,1,0,0.714285714
344,0,0,0,1,0.785714286
345,0,1,0,0,0.785714286
346,0,0,1,0,0.857142857
347,0,0,0,1,0.857142857
348,0,1,0,0,0.928571429
349,0,0,1,0,1
350,1,1,0,0,0
351,1,0,1,0,0.071428571
352,1,0,0,1,0.071428571
353,1,1,0,0,0.142857143
354,1,0,1,0,0.142857143
355,1,0,0,1,0.142857143
356,1,1,0,0,0.214285714
357,1,0,1,0,0.214285714
358,1,0,0,1,0.214285714
359,1,1,0,0,0.214285714
360,1,0,1,0,0.214285714
361,1,0,0,1,0.285714286
362,1,1,0,0,0.285714286
363,1,0,1,0,0.285714286
364,1,0,0,1,0.285714286
365,1,1,0,0,0.285714286
366,1,0,1,0,0.285714286
367,1,0,0,1,0.357142857
368,1,1,0,0,0.357142857
369,1,0,1,0,0.357142857
370,1,0,0,1,0.357142857
371,1,1,0,0,0.357142857
372,1,0,1,0,0.357142857
373,1,0,0,1,0.428571429
374,1,1,0,0,0.428571429
375,1,0,1,0,0.428571429
376,1,0,0,1,0.428571429
377,1,1,0,0,0.428571429
378,1,0,1,0,0.5
379,1,0,0,1,0.5
380,1,1,0,0,0.5
381,1,0,1,0,0.5
382,1,0,0,1,0.5
383,1,1,0,0,0.571428571
384,1,0,1,0,0.571428571
385,1,0,0,1,0.571428571
386,1,1,0,0,0.571428571
387,1,0,1,0,0.642857143
388,1,0,0,1,0.642857143
389,1,1,0,0,0.642857143
390,1,0,1,0,0.642857143
391,1,0,0,1,0.714285714
392,1,1,0,0,0.714285714
393,1,0,1,0,0.714285714
394,1,0,0,1,0.785714286
395,1,1,0,0,0.785714286
396,1,0,1,0,0.857142857
397,1,0,0,1,0.857142857
398,1,1,0,0,0.928571429
399,1,0,1,0,1
400,0,1,0,0,0
401,0,0,1,0,0.071428571
402,0,0,0,1,0.071428571
403,0,1,0,0,0.142857143
404,0,0,1,0,0.142857143
405,0,0,0,1,0.142857143
406,0,1,0,0,0.214285714
407,0,0,1,0,0.214285714
408,0,0,0,1,0.214285714
409,0,1,0,0,0.214285714
410,0,0,1,0,0.214285714
411,0,0,0,1,0.285714286
412,0,1,0,0,0.285714286
413,0,0,1,0,0.285714286
414,0,0,0,1,0.285714286
415,0,1,0,0,0.285714286
416,0,0,1,0,0.285714286
417,0,0,0,1,0.357142857
418,0,1,0,0,0.357142857
419,0,0,1,0,0.357142857
420,0,0,0,1,0.357142857
421,0,1,0,0,0.357142857
422,0,0,1,0,0.357142857
423,0,0,0,1,0.428571429
424,0,1,0,0,0.428571429
425,0,0,1,0,0.428571429
426,0,0,0,1,0.428571429
427,0,1,0,0,0.428571429
428,0,0,1,0,0.5
429,0,0,0,1,0.5
430,0,1,0,0,0.5
431,0,0,1,0,0.5
432,0,0,0,1,0.5
433,0,1,0,0,0.571428571
434,0,0,1,0,0.571428571
435,0,0,0,1,0.571428571
436,0,1,0,0,0.571428571
437,0,0,1,0,0.642857143
438,0,0,0,1,0.642857143
439,0,1,0,0,0.642857143
440,0,0,1,0,0.642857143
441,0,0,0,1,0.714285714
442,0,1,0,0,0.714285714
443,0,0,1,0,0.714285714
444,0,0,0,1,0.785714286
445,0,1,0,0,0.785714286
446,0,0,1,0,0.857142857
447,0,0,0,1,0.857142857
448,0,1,0,0,0.928571429
449,0,0,1,0,1
450,1,1,0,0,0
451,1,0,1,0,0.071428571
452,1,0,0,1,0.071428571
453,1,1,0,0,0.142857143
454,1,0,1,0,0.142857143
455,1,0,0,1,0.142857143
456,1,1,0,0,0.214285714
457,1,0,1,0,0.214285714
458,1,0,0,1,0.214285714
459,1,1,0,0,0.214285714
460,1,0,1,0,0.214285714
461,1,0,0,1,0.285714286
462,1,1,0,0,0.285714286
463,1,0,1,0,0.285714286
464,1,0,0,1,0.285714286
465,1,1,0,0,0.285714286
466,1,0,1,0,0.285714286
467,1,0,0,1,0.357142857
468,1,1,0,0,0.357142857
469,1,0,1,0,0.357142857
470,1,0,0,1,0.357142857
471,1,1,0,0,0.357142857
472,1,0,1,0,0.357142857
473,1,0,0,1,0.428571429
474,1,1,0,0,0.428571429
475,1,0,1,0,0.428571429
476,1,0,0,1,0.428571429
477,1,1,0,0,0.428571429
478,1,0,1,0,0.5
479,1,0,0,1,0.5
480,1,1,0,0,0.5
481,1,0,1,0,0.5
482,1,0,0,1,0.5
483,1,1,0,0,0.571428571
484,1,0,1,0,0.571428571
485,1,0,0,1,0.571428571
486,1,1,0,0,0.571428571
487,1,0,1,0,0.642857143
488,1,0,0,1,0.642857143
489,1,1,0,0,0.642857143
490,1,0,1,0,0.642857143
491,1,0,0,1,0.714285714
492,1,1,0,0,0.714285714
493,1,0,1,0,0.714285714
494,1,0,0,1,0.785714286
495,1,1,0,0,0.785714286
496,1,0,1,0,0.857142857
497,1,0,0,1,0.857142857
498,1,1,0,0,0.928571429
499,1,0,1,0,1
