inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs1,abs2,abs3
0.633009364,0.919558016,0.618793387,0.821436144,0.624535189,0.894449058,0.665752467,0.888567344,0.118793387,0.124535189,0.165752467
0.526989941,0.961324194,0.294382143,0.946460399,0.237415007,0.901539045,0.486555718,0.970309181,0.205617857,0.262584993,0.013444282
0.562588047,0.845343129,0.597271193,0.827327685,0.511531145,0.744239189,0.546465705,0.864529516,0.097271193,0.011531145,0.046465705
0.425419727,0.760465187,0.431288405,0.729201175,0.428358032,0.763624668,0.417029548,0.778357448,0.068711595,0.071641968,0.082970452
0.748955836,0.930582329,0.702942551,0.91789893,0.719112461,0.907795019,0.790901196,0.97289018,0.202942551,0.219112461,0.290901196
0.608231378,0.845354419,0.452510328,0.784907904,0.471427669,0.774529388,0.601162939,0.837469074,0.047489672,0.028572331,0.101162939
0.956831041,0.772345462,0.894760639,0.771054256,0.968308521,0.750121872,0.920378123,0.805909677,0.394760639,0.468308521,0.420378123
0.806667218,0.77405161,0.691430721,0.709815561,0.760632415,0.808750513,0.861100611,0.769279728,0.191430721,0.260632415,0.361100611
0.563286013,0.769378698,0.460067722,0.722567448,0.480185863,0.752707989,0.557249818,0.774135833,0.039932278,0.019814137,0.057249818
0.723466686,0.712163701,0.713510598,0.713386938,0.71976211,0.724905925,0.750889561,0.728550855,0.213510598,0.21976211,0.250889561
0.628392899,0.937977355,0.583748721,0.914184742,0.632457246,0.921682784,0.622838689,0.946786162,0.083748721,0.132457246,0.122838689
0.820157619,0.874001911,0.678177051,0.788793124,0.7924419,0.861411821,0.801718792,0.841217432,0.178177051,0.2924419,0.301718792
0.715456265,0.904955846,0.633205298,0.873107157,0.668468098,0.874860921,0.731125381,0.910516675,0.133205298,0.168468098,0.231125381
0.810507108,0.732860609,0.795218719,0.774614086,0.78601383,0.736972413,0.793992733,0.67886989,0.295218719,0.28601383,0.293992733
0.746078762,1.01966215,0.705650942,1.00180497,0.796829612,1.025387021,0.76679113,1.042646115,0.205650942,0.296829612,0.26679113
0.718867894,0.901841123,0.636811726,0.857422855,0.580521571,0.782785824,0.712175257,0.901150572,0.136811726,0.080521571,0.212175257
0.896440857,0.872730441,0.85728469,0.876819586,0.799280023,0.832290697,0.920694966,0.874637005,0.35728469,0.299280023,0.420694966
0.575011849,0.876214991,0.435318514,0.80494661,0.518419813,0.851319823,0.576605456,0.936097386,0.064681486,0.018419813,0.076605456
0.516003865,0.792192297,0.501352166,0.81741117,0.400715491,0.729212909,0.534302877,0.820048292,0.001352166,0.099284509,0.034302877
0.688570095,0.924914685,0.364401786,0.78833454,0.452878967,0.83743957,0.674749885,0.913859706,0.135598214,0.047121033,0.174749885
0.853612891,0.900228615,0.660945529,0.798077227,0.886050006,0.897105841,0.85391626,0.901796456,0.160945529,0.386050006,0.35391626
0.917741295,0.774395234,0.833901412,0.740542897,0.832334197,0.735638746,0.967240775,0.785208877,0.333901412,0.332334197,0.467240775
0.823317649,0.699874525,0.825612099,0.676230894,0.714553928,0.667932137,0.803423685,0.766300856,0.325612099,0.214553928,0.303423685
1.039536911,0.715688541,0.673354381,0.583205916,0.758208095,0.594871248,1.072995408,0.725651352,0.173354381,0.258208095,0.572995408
0.65415196,0.908440228,0.570180536,0.836066885,0.458162009,0.782115032,0.671404349,0.893770928,0.070180536,0.041837991,0.171404349
0.60493916,0.891803136,0.461542201,0.80289711,0.488187345,0.822104404,0.600620828,0.918728096,0.038457799,0.011812655,0.100620828
0.563546877,1.032829973,0.47373699,1.022494408,0.513177163,1.022773586,0.592192464,1.025622113,0.02626301,0.013177163,0.092192464
0.204751037,0.881048001,0.129094874,0.796841861,0.139711039,0.841819507,0.187007743,0.93164941,0.370905126,0.360288961,0.312992257
0.724608255,0.747219893,0.571967186,0.699219882,0.560598728,0.688059328,0.691544978,0.773185436,0.071967186,0.060598728,0.191544978
0.575683643,0.916418557,0.465736283,0.885432238,0.450458627,0.873255431,0.520810768,0.911691762,0.034263717,0.049541373,0.020810768
0.687397548,0.86764159,0.648707945,0.853115494,0.642003779,0.859006876,0.687281179,0.835146812,0.148707945,0.142003779,0.187281179
0.802051758,0.849446501,0.622675172,0.780684821,0.608668323,0.7959902,0.788710785,0.814066013,0.122675172,0.108668323,0.288710785
0.782153334,0.813133784,0.666799153,0.717455549,0.703593827,0.735994015,0.775117082,0.798163732,0.166799153,0.203593827,0.275117082
0.621075136,0.832973759,0.508931308,0.687420852,0.535021568,0.722740441,0.623635627,0.774415878,0.008931308,0.035021568,0.123635627
0.485623862,0.843434146,0.480092447,0.842688521,0.398584886,0.779829426,0.495354914,0.828466643,0.019907553,0.101415114,0.004645086
0.687697109,0.785586241,0.684354949,0.750210664,0.742436315,0.796443085,0.69041072,0.7681298,0.184354949,0.242436315,0.19041072
0.896622916,0.748882566,0.719622746,0.67204219,0.618716217,0.620762426,0.896010615,0.752168535,0.219622746,0.118716217,0.396010615
0.863593105,0.736964865,0.845608061,0.780876377,0.660649764,0.660620867,0.832747531,0.744795569,0.345608061,0.160649764,0.332747531
0.80388369,0.768556079,0.77470385,0.753582478,0.575459283,0.699772857,0.774180664,0.760475819,0.27470385,0.075459283,0.274180664
0.729048737,0.856237183,0.647750367,0.816025793,0.521790408,0.723921421,0.714375153,0.878918053,0.147750367,0.021790408,0.214375153
0.596043653,0.838736089,0.319708511,0.72309729,0.278987819,0.698445236,0.575129469,0.818221807,0.180291489,0.221012181,0.075129469
0.649916142,0.858321396,0.61991212,0.804929319,0.540657249,0.812590214,0.635470696,0.835377088,0.11991212,0.040657249,0.135470696
0.742075155,0.845414114,0.510303479,0.74829038,0.527227796,0.766952492,0.735871843,0.867864366,0.010303479,0.027227796,0.235871843
0.566524213,0.752976132,0.562377497,0.734751256,0.535675755,0.7184123,0.579778673,0.751677787,0.062377497,0.035675755,0.079778673
0.823248689,0.640333449,0.64993986,0.552857109,0.560724984,0.554850823,0.807838233,0.621977536,0.14993986,0.060724984,0.307838233
0.673419038,0.882330245,0.654722665,0.865331193,0.642418375,0.954276682,0.66387518,0.871590114,0.154722665,0.142418375,0.16387518
0.564591365,0.867199691,0.410074965,0.859028627,0.45793229,0.793916052,0.562926494,0.871432977,0.089925035,0.04206771,0.062926494
0.592123519,0.730920941,0.502237016,0.699308863,0.500787671,0.685840991,0.614696103,0.734239261,0.002237016,0.000787671,0.114696103
0.704824528,0.904537994,0.733963097,0.918744079,0.710584795,0.877510565,0.741800657,0.873524179,0.233963097,0.210584795,0.241800657
0.866086946,0.802036549,0.703170039,0.707946843,0.606656058,0.691939187,0.880757966,0.796922147,0.203170039,0.106656058,0.380757966
0.93686889,0.971447669,0.879640483,0.94022797,0.914592495,0.951599176,0.934273058,0.983768912,0.379640483,0.414592495,0.434273058
0.7919601,0.764856136,0.557561673,0.61160983,0.571164091,0.625473436,0.801596888,0.747238953,0.057561673,0.071164091,0.301596888
0.867775895,0.833047704,0.721697361,0.779468152,0.76114197,0.787353677,0.861078404,0.833844745,0.221697361,0.26114197,0.361078404
0.754920485,0.823551871,0.459063748,0.701136214,0.519961383,0.735676034,0.766698197,0.829168403,0.040936252,0.019961383,0.266698197
